Date,Index Value
2018-01-02,0.008456214358261407
2018-01-03,0.0074949807264763505
2018-01-04,0.0020140295390489124
2018-01-05,0.008546694976005636
2018-01-08,-0.00609227009501443
2018-01-09,0.003303111083834777
2018-01-10,0.0005145945715301139
2018-01-11,0.0038091376587248726
2018-01-12,0.007440062250678957
2018-01-16,0.0026793152087858647
2018-01-17,0.009753234427797255
2018-01-18,-0.0044257479841291
2018-01-19,0.0017407604237505113
2018-01-22,0.006246129892320472
2018-01-23,-0.008073150291500351
2018-01-24,0.0019947785132780494
2018-01-25,0.01056273875898345
2018-01-26,0.029867328409447575
2018-01-29,-0.0006357588819385088
2018-01-30,-0.0202783219959488
2018-01-31,-0.03218553091953827
2018-02-01,0.009925084360918173
2018-02-02,-0.012464604176671355
2018-02-05,-0.0482172496800513
2018-02-06,0.00741366461350329
2018-02-07,-0.0033860787704847357
2018-02-08,-0.03268674448180234
2018-02-09,0.019335578261648962
2018-02-12,0.00544147686001566
2018-02-13,-0.0018760642638315842
2018-02-14,0.011190117102752474
2018-02-15,0.016647347708916807
2018-02-16,0.011031111881178009
2018-02-20,-0.015089341076265885
2018-02-21,-0.004815814832658399
2018-02-22,-0.0023085669709605487
2018-02-23,0.018120841033294182
2018-02-26,0.015922943143047666
2018-02-27,-0.015375135568684875
2018-02-28,-0.01434186210721413
2018-03-01,-0.011266901192519312
2018-03-02,0.01214296930541286
2018-03-05,0.008441627035312102
2018-03-06,-0.006306860447245697
2018-03-07,0.0027797847132295865
2018-03-08,0.014614359623475242
2018-03-09,0.013211694054330493
2018-03-12,-0.0043898749171031645
2018-03-13,0.0018015914630735077
2018-03-14,-0.005911240860961703
2018-03-15,-0.0025501993061051785
2018-03-16,0.009285370159986178
2018-03-19,-0.02026358145040615
2018-03-20,0.0002772212011666023
2018-03-21,-0.0013252374381948007
2018-03-22,-0.034240464526768946
2018-03-23,-0.021384374122207308
2018-03-26,0.016035148467199868
2018-03-27,-0.01164446043060835
2018-03-28,0.011866461273636414
2018-03-29,0.004459447487608625
2018-04-02,-0.025890932449953972
2018-04-03,0.016308023887876125
2018-04-04,0.015691525427952817
2018-04-05,-0.004208224764387261
2018-04-06,-0.02431651612302968
2018-04-09,0.013177686667743051
2018-04-10,0.01946800347618938
2018-04-11,-0.006538246849938362
2018-04-12,0.0054836721202331535
2018-04-13,0.0012555648050602355
2018-04-16,0.004230637916544347
2018-04-17,0.0036311258864890846
2018-04-18,-0.004018299798853292
2018-04-19,-0.004880363113606066
2018-04-20,-0.0058192598959249005
2018-04-23,0.009227557577601587
2018-04-24,-0.006062072471004912
2018-04-25,0.005848800144965752
2018-04-26,0.01689151035838124
2018-04-27,0.001604764246352886
2018-04-30,-0.017402963949987933
2018-05-01,-0.006532341589553318
2018-05-02,-0.011323144949161628
2018-05-03,-0.005204931649567647
2018-05-04,0.00448380120469357
2018-05-07,-0.0006214474616948742
2018-05-08,-0.0035671038639649203
2018-05-09,0.009462424707257845
2018-05-10,0.013635453735485019
2018-05-11,0.020735113795095992
2018-05-14,0.0059149480670387155
2018-05-15,-0.011932476582721289
2018-05-16,0.0027060598456725626
2018-05-17,0.0009051428429589114
2018-05-18,0.0033790086534983147
2018-05-21,-0.003186466990097607
2018-05-22,-0.00010793707628978407
2018-05-23,0.005163940021712402
2018-05-24,-0.0039191332237286675
2018-05-25,-0.0020629508152429656
2018-05-29,-0.008762073354235301
2018-05-30,0.018125593921487073
2018-05-31,-0.004227777739651748
2018-06-01,0.006026416001262845
2018-06-04,0.006390247836558776
2018-06-05,-0.004475679843900328
2018-06-06,0.0097529613826494
2018-06-07,-0.0014932589588683661
2018-06-08,0.006403809198687621
2018-06-11,-0.00399703157189148
2018-06-12,-0.0017763564541536257
2018-06-13,-0.0008984627311111681
2018-06-14,0.005200079693816048
2018-06-15,0.004512393777889966
2018-06-18,-0.010258845661495446
2018-06-19,0.006055279552468771
2018-06-20,0.0015337566251658634
2018-06-21,-0.007068543396837279
2018-06-22,0.0012659141630751115
2018-06-25,-0.006085042497369973
2018-06-26,-0.005788998357740805
2018-06-27,-0.006366532010566495
2018-06-28,0.007481122313947746
2018-06-29,0.007276147426154727
2018-07-02,0.003545454283004428
2018-07-03,0.0044802108569059135
2018-07-05,0.00963814066442752
2018-07-06,0.015252169796434532
2018-07-09,0.0035230539381525526
2018-07-10,0.004971979449758668
2018-07-11,-0.009937563389972134
2018-07-12,0.012685045255693238
2018-07-13,0.004174583571096119
2018-07-16,-0.006693943752758649
2018-07-17,0.007104095524014366
2018-07-18,0.0014797289199414592
2018-07-19,-0.012118472359773879
2018-07-20,-0.006169374416217845
2018-07-23,0.0018635953401387254
2018-07-24,0.026903700530417983
2018-07-25,0.016610403501486
2018-07-26,-0.003327982814415083
2018-07-27,-0.002275262143412946
2018-07-30,0.010239832790950368
2018-07-31,0.00981756397067892
2018-08-01,0.0024385282600083076
2018-08-02,0.004279683597601026
2018-08-03,0.00840866542721187
2018-08-06,0.005475563586410566
2018-08-07,-0.002309564190879348
2018-08-08,-0.0015503703129465956
2018-08-09,-0.001985777745551187
2018-08-10,-0.0009658708314723495
2018-08-13,0.0017879851596272714
2018-08-14,0.0004414131857532267
2018-08-15,0.0060386439297853995
2018-08-16,0.01287540760202458
2018-08-17,0.008973159633984809
2018-08-20,0.0037773765788363563
2018-08-21,-0.004771039658213642
2018-08-22,0.0005410089013383924
2018-08-23,-0.0018556889781645802
2018-08-24,0.004444935934113279
2018-08-27,0.0011496240750161557
2018-08-28,-0.0011764883974637985
2018-08-29,0.005900606520051231
