Date,ABBV,ABT,AMGN,BIIB,BMY,INCY,JNJ,LLY,MRK,PFE,PRGO,PTCT,REGN,VRTX,VTRS
2017-12-29,72.32209777832031,51.03295135498047,142.84996032714844,318.57000732421875,49.64153289794922,94.70999908447266,116.97071838378906,75.74653625488281,44.15728759765625,26.59716796875,75.04913330078125,16.68000030517578,375.9599914550781,149.86000061035156,37.054134368896484
2018-01-02,73.5934066772461,52.57100296020508,145.39642333984375,334.1700134277344,49.66583251953125,100.88999938964844,116.56049346923828,75.94383239746094,44.11804962158203,26.758718490600586,77.22758483886719,17.459999084472656,382.6000061035156,152.91000366210938,37.75475311279297
2018-01-03,74.74504852294922,52.68724060058594,148.14010620117188,339.8500061035156,49.706329345703125,100.9800033569336,117.67391967773438,76.35636901855469,44.05527114868164,26.95698356628418,77.01233673095703,18.010000228881836,393.7799987792969,152.00999450683594,37.78102493286133
2018-01-04,74.31879425048828,52.59783172607422,147.51576232910156,339.989990234375,50.35050582885742,98.44000244140625,117.6655502319336,76.6971664428711,44.769378662109375,27.015727996826172,78.4244613647461,17.989999771118164,382.95001220703125,153.07000732421875,38.80568313598633
2018-01-05,75.61251068115234,52.749847412109375,148.3947296142578,342.489990234375,50.464656829833984,99.8499984741211,118.63668060302734,77.63884735107422,44.7223014831543,27.067129135131836,78.51055145263672,17.93000030517578,385.1000061035156,155.69000244140625,39.00710678100586
2018-01-08,74.40105438232422,52.59783172607422,148.35366821289062,329.6499938964844,50.48094940185547,100.80999755859375,118.78739929199219,77.2442398071289,44.46334457397461,26.766056060791016,77.60646057128906,20.239999771118164,372.5199890136719,156.88999938964844,39.02463150024414
2018-01-09,74.96192169189453,52.68724060058594,150.63731384277344,336.3599853515625,50.432037353515625,96.29000091552734,120.67105865478516,77.18147277832031,44.57320022583008,26.7366886138916,78.21778869628906,20.670000076293945,368.6499938964844,156.00999450683594,38.78816604614258
2018-01-10,74.55062103271484,52.60676956176758,150.2101287841797,336.7200012207031,50.5625,96.62000274658203,120.52872467041016,77.21733856201172,44.9655647277832,26.780738830566406,77.56342315673828,20.510000228881836,366.4599914550781,157.3800048828125,38.875755310058594
2018-01-11,74.76902770996094,52.9661750793457,149.47084045410156,333.07000732421875,50.93757247924805,93.05999755859375,121.21517181396484,77.4774169921875,45.200992584228516,26.846834182739258,79.20802307128906,21.709999084472656,368.260009765625,158.39999389648438,40.90755081176758
2018-01-12,75.57494354248047,52.86732864379883,152.00083923339844,335.95001220703125,51.214813232421875,94.06999969482422,122.02728271484375,78.00655364990234,46.03281784057617,26.832141876220703,79.04442596435547,23.290000915527344,366.9599914550781,157.92999267578125,41.07394790649414
2018-01-16,77.1943130493164,52.50794982910156,152.41160583496094,338.8500061035156,48.85832977294922,91.6500015258789,122.94819641113281,76.49090576171875,48.708778381347656,26.87621307373047,78.23501586914062,21.489999771118164,370.2099914550781,155.7100067138672,40.84624481201172
2018-01-17,78.60276794433594,53.002113342285156,154.44058227539062,344.8699951171875,50.432037353515625,90.30999755859375,123.04863739013672,77.31600189208984,48.677391052246094,27.302114486694336,78.8721923828125,21.950000762939453,374.07000732421875,156.99000549316406,40.96885299682617
2018-01-18,78.1884994506836,53.0739860534668,154.09559631347656,344.44000244140625,50.41572189331055,91.91999816894531,122.99842071533203,76.96623992919922,47.971126556396484,27.162593841552734,78.94966888427734,20.93000030517578,371.2799987792969,157.19000244140625,40.732383728027344
2018-01-19,78.81366729736328,53.28961944580078,155.48382568359375,342.4100036621094,50.78266143798828,93.16000366210938,123.36679077148438,76.6702651977539,48.08883285522461,27.125873565673828,79.11327362060547,21.920000076293945,371.5299987792969,157.97000122070312,40.9250602722168
2018-01-22,80.20704650878906,53.52323913574219,157.98924255371094,347.6400146484375,51.598052978515625,94.08000183105469,124.01976776123047,76.62542724609375,48.06529998779297,27.118526458740234,80.45654296875,22.5,375.8599853515625,161.91000366210938,41.72201919555664
2018-01-23,79.37100982666016,53.217742919921875,157.70997619628906,346.75,51.7203483581543,94.62999725341797,118.7371597290039,75.7106704711914,48.418426513671875,27.037757873535156,80.93012237548828,23.450000762939453,381.7099914550781,166.5800018310547,41.030155181884766
2018-01-24,79.46894836425781,55.45500183105469,156.59280395507812,346.5,51.98942947387695,95.33999633789062,118.9380874633789,75.60303497314453,48.01036834716797,27.118526458740234,80.6029281616211,23.25,383.32000732421875,167.4499969482422,40.39084243774414
2018-01-25,81.57034301757812,56.802734375,156.14100646972656,353.739990234375,51.79373550415039,94.26000213623047,120.88867950439453,76.23980712890625,48.10453414916992,27.338829040527344,81.44673156738281,23.489999771118164,391.8399963378906,166.24000549316406,40.2769889831543
2018-01-26,92.80037689208984,56.9824333190918,161.0121612548828,367.9100036621094,52.388973236083984,95.51000213623047,121.6672592163086,78.09623718261719,48.68523406982422,28.645923614501953,81.92892456054688,24.65999984741211,374.3599853515625,169.2100067138672,40.46090316772461
2018-01-29,92.12250518798828,56.883609771728516,162.64691162109375,358.4800109863281,52.53574752807617,93.54000091552734,120.28592681884766,78.56259155273438,48.363494873046875,28.65326690673828,79.5265884399414,27.030000686645508,382.8800048828125,167.13999938964844,40.268226623535156
2018-01-30,87.27950286865234,56.1019172668457,157.11854553222656,352.5899963378906,52.15250778198242,92.5,119.23947143554688,77.2083740234375,47.59444046020508,27.757394790649414,77.63231658935547,26.68000030517578,379.7699890136719,166.5399932861328,38.55170440673828
